title,score_phrase,score,genre,editors_choice
PGA Tour '96,Good,7.0,Sports,N
Rayman,Good,7.0,Platformer,N
Raiden Project,Okay,6.0,Shooter,N
Andretti Racing,Great,8.0,Racing,N
Gunship,Awful,3.0,Simulation,N
Olympic Summer Games: Atlanta '96,Okay,6.0,Sports,N
Revolution X,Unbearable,1.0,Action,N
Shockwave Assault,Bad,4.0,Action,N
HardBall 5,Bad,4.0,Sports,N
Twisted Metal [1996],Good,7.0,Action,N
WipEout XL,Amazing,9.0,Racing,Y
WipEout,Great,8.0,Racing,N
Tobal No. 1,Great,8.7,Fighting,Y
Star Gladiator Episode 1: Final Crusade,Great,8.0,Fighting,N
Starfighter,Good,7.0,Action,N
Battle Arena Toshinden,Good,7.0,Fighting,N
Destruction Derby,Good,7.0,"Racing, Action",N
Aquanaut's Holiday,Great,8.0,Simulation,N
Creature Shock (Special Edition),Painful,2.0,Action,N
Air Combat,Good,7.0,"Flight, Action",N
Descent,Good,7.0,Action,N
Cyber Sled,Mediocre,5.0,Action,N
DEFCON 5,Good,7.0,Action,N
The King of Fighters '95,Mediocre,5.0,Fighting,N
Jumping Flash! 2,Great,8.0,Platformer,N
Epidemic,Bad,4.0,Action,N
Philosoma,Mediocre,5.0,Action,N
NBA In the Zone,Mediocre,5.0,Sports,N
Magic Carpet,Good,7.5,Action,N
Power Serve 3D Tennis,Painful,2.0,Sports,N
Resident Evil [1996],Great,8.7,"Action, Adventure",N
NCAA GameBreaker,Okay,6.8,Sports,N
Project: Horned Owl,Okay,6.0,Shooter,N
Frank Thomas: Big Hurt Baseball,Okay,6.0,Sports,N
Goal Storm,Good,7.0,Sports,N
In the Hunt,Awful,3.0,Action,N
International Track & Field,Good,7.0,Sports,N
Novastorm,Painful,2.0,Shooter,N
PO'ed,Great,8.0,Action,N
NBA Jam: Tournament Edition,Okay,6.5,Sports,N
WWF Wrestlemania: The Arcade Game,Good,7.0,Wrestling,N
Williams Arcade's Greatest Hits,Good,7.0,Compilation,N
Tetris Plus,Okay,6.0,Puzzle,N
Slam 'n Jam '96: Featuring Magic and Kareem,Mediocre,5.0,Sports,N
V-Tennis,Bad,4.0,Sports,N
Tokyo Highway Battle,Good,7.0,Racing,N
Zero Divide,Mediocre,5.0,Fighting,N
X-COM: UFO Defense,Amazing,9.0,Strategy,Y
Darkstalkers: The Night Warriors,Okay,6.5,Fighting,N
FIFA Soccer '96,Good,7.8,Sports,N
Mortal Kombat Trilogy,Bad,4.1,Fighting,N
Wave Race 64,Amazing,9.7,Racing,Y
Battle Arena Toshinden Remix,Mediocre,5.0,Fighting,N
Cruis'n USA,Bad,4.0,Racing,N
Batman Forever: The Arcade Game,Mediocre,5.0,Action,N
Pilotwings 64,Great,8.2,Flight,N
Road Rash,Mediocre,5.0,"Racing, Action",N
Ridge Racer [1995],Good,7.5,Racing,N
Shellshock,Good,7.0,Action,N
SimCity 2000,Good,7.0,Strategy,N
Street Fighter Alpha: Warriors' Dreams,Good,7.0,Fighting,N
The Hive,Awful,3.0,Action,N
Loaded,Good,7.5,Shooter,N
NBA Live '96,Good,7.0,Sports,N
Psychic Detective,Painful,2.0,Adventure,N
NHL FaceOff,Amazing,9.0,Sports,N
NFL GameDay,Great,8.0,Sports,N
Kileak: The DNA Imperative,Awful,3.0,Action,N
Formula 1,Great,8.0,Racing,N
Worms,Great,8.0,Strategy,N
Zoop,Mediocre,5.0,Puzzle,N
Space Griffon,Painful,2.0,Action,N
Tekken 2,Amazing,9.0,Fighting,Y
Warhawk,Great,8.7,"Flight, Action",N
Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,Bad,4.0,Fighting,N
Super Mario 64,Amazing,9.8,Platformer,Y
Baku Baku,Good,7.0,Puzzle,N
The Walking Dead: The Game -- Episode 1: A New Day,Great,8.5,Adventure,N
Olympic Soccer,Okay,6.0,Sports,N
Off-World Interceptor Extreme,Bad,4.0,Action,N
Gex,Okay,6.0,Platformer,N
Skeleton Warriors,Mediocre,5.0,Action,N
Johnny Bazookatone,Mediocre,5.0,Platformer,N
Mario Kart 64,Great,8.1,"Racing, Action",Y
Rally Cross,Good,7.0,Racing,N
Spider,Okay,6.0,Action,N
Grid Runner,Okay,6.0,Action,N
Virtual Pool,Good,7.0,Sports,N
Pro-Pinball,Great,8.0,Pinball,N
Deception: Invitation to Darkness,Good,7.0,Strategy,N
Peak Performance,Good,7.0,Racing,N
Independence Day,Painful,2.0,Action,N
Buster Bros. Collection,Okay,6.0,Action,N
Re-Loaded: The Hardcore Sequel,Bad,4.0,Shooter,N
Destruction Derby 2,Good,7.2,Racing,N
Blood Omen: Legacy of Kain,Great,8.5,"Action, RPG",Y
Tunnel B-1,Okay,6.0,Action,N
Doom 64,Good,7.4,Shooter,N
NHL FaceOff '97,Great,8.0,Sports,N
Super Puzzle Fighter II Turbo,Amazing,9.0,"Puzzle, Action",Y
NBA Hang Time,Mediocre,5.4,Sports,N
Suikoden,Amazing,9.0,RPG,N
Battle Stations,Okay,6.0,Strategy,N
Nanotek Warrior,Great,8.0,Action,N
Rush Hour,Okay,6.0,Racing,N
BRAHMA Force: The Assault On Beltlogger 9,Good,7.0,Action,N
Vandal Hearts,Great,8.0,RPG,N
MechWarrior 2,Great,8.0,Simulation,N
VR Baseball '97,Good,7.0,Sports,N
Need for Speed II,Okay,6.0,Racing,N
Samurai Shodown III: Blades of Blood,Okay,6.5,Fighting,N
Pitball,Mediocre,5.0,Action,N
MLB Pennant Race,Mediocre,5.0,Sports,N
Tempest X3: An Inter-Galactic Battle Zone,Great,8.0,Action,N
Project Overkill,Mediocre,5.0,Action,N
Crusader: No Remorse,Good,7.0,Action,N
VR Golf '97,Great,8.0,Sports,N
Iron Man / XO Manowar in Heavy Metal,Awful,3.0,Action,N
Disruptor,Great,8.0,Shooter,N
Final Doom,Good,7.0,Action,N
Twisted Metal 2,Good,7.3,Action,N
NFL GameDay 97,Good,7.8,Sports,N
Jet Moto,Great,8.0,Racing,N
FIFA Soccer 64,Bad,4.2,Sports,N
Command & Conquer (1997),Great,8.0,Strategy,N
Mega Man 8,Okay,6.0,Action,N
Big Bass World Championship,Okay,6.0,Hunting,N
Blast Corps,Amazing,9.0,Action,Y
NBA Live '97,Great,8.0,Sports,N
NBA ShootOut '97,Amazing,9.0,Sports,Y
Turok: Dinosaur Hunter,Great,8.6,Shooter,N
The Crow: City of Angels,Unbearable,1.0,Action,N
Star Wars: Dark Forces,Mediocre,5.0,Action,N
Tomb Raider -- Featuring Lara Croft,Amazing,9.3,Adventure,N
Pandemonium,Okay,6.6,Platformer,N
Cool Boarders,Good,7.0,Sports,N
NBA In the Zone 2,Amazing,9.0,Sports,N
Street Fighter Alpha 2,Great,8.5,Fighting,N
TNN Motorsports Hardcore 4X4,Bad,4.0,Racing,N
Black Dawn,Good,7.5,Simulation,N
Namco Museum Vol. 3,Okay,6.0,"Action, Compilation",N
Crypt Killer,Bad,4.0,Action,N
Carnage Heart,Amazing,9.2,Strategy,N
Soul Blade,Great,8.3,Fighting,Y
Hi-Octane,Okay,6.0,Racing,N
Star Wars: Shadows of the Empire,Okay,6.5,Action,N
Wayne Gretzky's 3D Hockey,Good,7.1,Sports,N
Killer Instinct Gold,Okay,6.5,Fighting,N
Spot Goes to Hollywood,Awful,3.0,Platformer,N
Space Hulk: Vengeance of the Blood Angels,Okay,6.0,Action,N
Tekken,Good,7.5,Fighting,N
VR Soccer '96,Good,7.7,Sports,N
Top Gun: Fire At Will,Awful,3.0,Simulation,N
World Cup Golf: Professional Edition,Mediocre,5.0,Sports,N
Doraemon Nobita & The 3 Fairy Spirit Stones,Awful,3.0,Platformer,N
Xevious 3D/G+,Great,8.0,Shooter,N
Thunder Truck Rally,Good,7.0,Racing,N
All-Star Baseball '97 Featuring Frank Thomas,Mediocre,5.0,Sports,N
War Gods,Bad,4.3,Fighting,N
Broken Helix,Okay,6.0,"Action, Adventure",N
Codename: Tenka,Good,7.0,Shooter,N
Hexen,Mediocre,5.0,Action,N
Descent Maximum,Good,7.5,Action,N
The City of Lost Children,Mediocre,5.0,Adventure,N
Wing Commander IV: The Price of Freedom,Bad,4.0,Simulation,N
Overblood,Okay,6.0,Adventure,N
Wild ARMs,Great,8.0,RPG,N
Rage Racer,Good,7.0,Racing,N
Star Fox 64,Great,8.7,"Flight, Action",N
Swagman,Mediocre,5.0,Action,N
Grand Slam,Okay,6.0,Sports,N
Triple Play '98,Amazing,9.2,Sports,N
Norse By Norse West: The Return of the Lost Vikings,Okay,6.0,Platformer,N
Tail of the Sun,Good,7.0,Adventure,N
Goal Storm '97,Okay,6.0,Sports,N
Sentient [1997],Mediocre,5.0,Adventure,N
Psychic Force,Mediocre,5.0,Fighting,N
NHL Powerplay '98,Good,7.0,Sports,N
Madden NFL '98,Good,7.0,Sports,N
The Lost World: Jurassic Park,Mediocre,5.0,Action,N
NFL GameDay 98,Great,8.8,Sports,Y
GoldenEye 007,Amazing,9.7,Shooter,Y
Ace Combat 2,Amazing,9.0,"Flight, Action",Y
Warcraft II: The Dark Saga,Good,7.0,Strategy,N
Machine Hunter,Mediocre,5.0,Action,N
Tetrisphere,Great,8.0,Puzzle,N
Ogre Battle,Okay,6.0,Strategy,N
Porsche Challenge,Great,8.0,Racing,N
NCAA Football '98,Good,7.0,Sports,N
Lethal Enforcers I & II,Bad,4.0,Action,N
VMX Racing,Mediocre,5.0,Racing,N
Duke Nukem 64,Great,8.0,Shooter,N
NBA Live '98,Great,8.0,Sports,N
Jet Moto 2,Good,7.0,Racing,N
Cool Boarders 2,Good,7.2,Sports,N
Time Crisis,Great,8.0,Action,Y
Maximum Force,Mediocre,5.0,Shooter,N
Treasures of the Deep,Great,8.0,Adventure,N
Discworld II: Mortality Bytes!,Okay,6.0,Adventure,N
Nuclear Strike,Good,7.6,Action,N
NHL FaceOff '98,Great,8.0,Sports,N
NASCAR 98,Great,8.0,Racing,N
MLB '98,Great,8.0,Sports,N
Herc's Adventures,Okay,6.0,Action,N
Namco Museum Vol. 4,Okay,6.0,"Action, Compilation",N
